participant_id	stc_ref_time	fmriprep_start	fmriprep_stop
sub-v1s14x0051556	n/a	2026-03-08T17:03:11	2026-03-08T22:00:13
sub-v1s14x0051557	n/a	2026-03-08T17:05:45	2026-03-08T21:50:40
sub-v1s14x0051558	n/a	2026-03-08T17:11:29	2026-03-08T22:06:00
sub-v1s14x0051559	n/a	2026-03-08T17:12:18	2026-03-08T22:11:46
sub-v1s14x0051560	n/a	2026-03-08T17:13:02	2026-03-08T21:25:22
sub-v1s14x0051561	n/a	2026-03-08T17:14:09	2026-03-08T22:01:25
sub-v1s14x0051562	n/a	2026-03-08T17:20:46	2026-03-08T21:58:45
sub-v1s14x0051563	n/a	2026-03-08T17:27:30	2026-03-08T22:27:42
sub-v1s14x0051564	n/a	2026-03-08T17:27:59	2026-03-08T22:13:39
sub-v1s14x0051565	n/a	2026-03-08T17:30:45	2026-03-08T22:03:05
sub-v1s14x0051566	n/a	2026-03-08T17:34:08	2026-03-08T22:43:27
sub-v1s14x0051567	n/a	2026-03-08T17:46:25	2026-03-08T23:37:15
sub-v1s14x0051568	n/a	2026-03-08T17:52:51	2026-03-08T22:21:11
sub-v1s14x0051569	n/a	2026-03-08T17:53:47	2026-03-08T22:59:58
sub-v1s14x0051570	n/a	2026-03-08T18:16:33	2026-03-08T22:49:29
sub-v1s14x0051571	n/a	2026-03-08T18:27:24	2026-03-08T23:14:24
sub-v1s14x0051572	n/a	2026-03-08T18:44:49	2026-03-08T22:06:11
sub-v1s14x0051574	n/a	2026-03-08T18:46:40	2026-03-08T21:55:28
sub-v1s14x0051575	n/a	2026-03-08T18:48:54	2026-03-08T22:18:03
sub-v1s14x0051576	n/a	2026-03-08T18:52:20	2026-03-08T23:36:38
sub-v1s14x0051577	n/a	2026-03-08T19:02:18	2026-03-08T22:35:02
sub-v1s14x0051578	n/a	2026-03-08T19:15:36	2026-03-08T22:39:29
sub-v1s14x0051579	n/a	2026-03-08T19:27:55	2026-03-08T22:43:20
sub-v1s14x0051580	n/a	2026-03-08T19:29:46	2026-03-08T23:17:30
sub-v1s14x0051581	n/a	2026-03-08T19:45:12	2026-03-08T23:06:56
sub-v1s14x0051582	n/a	2026-03-08T19:48:29	2026-03-08T23:39:57
sub-v1s14x0051584	n/a	2026-03-08T19:55:34	2026-03-08T23:42:00
sub-v1s14x0051585	n/a	2026-03-08T19:57:15	2026-03-08T23:45:03
